reference,grouping,value,n,quality_spearman,quality_spearman_p,quality_pearson,quality_pearson_p,api_quality_mean,api_quality_sd,prof_quality_mean,prof_quality_sd
all50,task_type,A,60,0.08274913089021074,0.5296319496962044,0.022059910290864324,0.8671331387852097,4.131481481481481,0.34958000488366897,3.9896666666666665,0.40676469134414034
all50,task_type,B,60,0.10156836588662181,0.4399987884150732,0.06890033950850355,0.6009080429683518,3.564814814814815,0.4919998888542851,3.903666666666667,0.4858609924194391
all50,task_type,C,60,-0.09867296491813078,0.45321101021973464,-0.037626193808973765,0.7753213589475436,1.0477777777777777,0.045528217418356796,4.133,0.48305279214595165
all50,domain,Biology,36,-0.32965044974153185,0.04960334788991475,-0.3081887438619291,0.06744885305633044,2.9672839506172837,1.4150761552585307,3.712777777777777,0.21541469788176493
all50,domain,Chemistry,36,0.272334485788483,0.10808104390931766,0.1572897479530728,0.35958668227304347,3.001234567901234,1.442630797355967,3.9100000000000006,0.11125260831613279
all50,domain,Climate/Environment,36,-0.10509619731001867,0.5418510921996003,-0.09663359927231853,0.5750332789602766,2.8333333333333335,1.3844538714041197,4.36,0.09282856703161396
all50,domain,Geoscience,36,-0.37039263249427024,0.026169719750553825,-0.3995457274540647,0.01577067721050499,2.791975308641976,1.3426253234470433,4.168333333333334,0.4791748860578686
all50,domain,Physics,36,-0.06439767279022955,0.7090461000700898,-0.0973336870997252,0.5722537496162086,2.97962962962963,1.4195050929794895,3.8927777777777774,0.7430616629329189
primary48,task_type,A,60,0.11618010472973352,0.37669886809829295,0.048704273395848326,0.7117215091855296,4.131481481481481,0.34958000488366897,3.976,0.41600175195198225
primary48,task_type,B,60,0.09601268027391577,0.46554011319223937,0.07840334642102434,0.5515413120850216,3.564814814814815,0.4919998888542851,3.8971666666666676,0.50501163492778
primary48,task_type,C,60,-0.10165996400380957,0.4395843536870393,-0.03423341639777656,0.7951192201051792,1.0477777777777777,0.045528217418356796,4.1355,0.4819906638099952
primary48,domain,Biology,36,-0.32965044974153185,0.04960334788991475,-0.3081887438619291,0.06744885305633044,2.9672839506172837,1.4150761552585307,3.712777777777777,0.21541469788176493
primary48,domain,Chemistry,36,0.272334485788483,0.10808104390931766,0.1572897479530728,0.35958668227304347,3.001234567901234,1.442630797355967,3.9100000000000006,0.11125260831613279
primary48,domain,Climate/Environment,36,-0.10509619731001867,0.5418510921996003,-0.09663359927231853,0.5750332789602766,2.8333333333333335,1.3844538714041197,4.36,0.09282856703161396
primary48,domain,Geoscience,36,-0.383563508626497,0.020928268710371824,-0.407483185571991,0.01363543214773887,2.791975308641976,1.3426253234470433,4.138888888888889,0.5349380619835628
primary48,domain,Physics,36,-0.06439767279022955,0.7090461000700898,-0.0973336870997252,0.5722537496162086,2.97962962962963,1.4195050929794895,3.8927777777777774,0.7430616629329189
