source,judge_provider,dimension,n,mean_api_minus_expert,median_api_minus_expert,mean_abs_gap,sd_gap
api_mean,all_successful_api_judges,fa,180,-1.464814814814815,-0.8055555555555558,1.6191358024691358,1.6308472446434275
api_mean,all_successful_api_judges,cc,180,-2.0975308641975308,-1.777777777777778,2.1141975308641974,1.2280575982385467
api_mean,all_successful_api_judges,lc,180,-0.9358024691358023,-0.16666666666666696,1.4722222222222223,1.7802281977619343
api_mean,all_successful_api_judges,tf,180,-1.3614197530864196,-0.7777777777777777,1.5811728395061726,1.6861114534058868
api_mean,all_successful_api_judges,mq,180,-1.082716049382716,-0.7222222222222223,1.5765432098765433,1.716696737665875
api_mean,all_successful_api_judges,risk,180,0.6219135802469137,0.4999999999999999,0.9638888888888889,1.0302195937165075
api_single_judge,anthropic,fa,180,-1.9722222222222223,-1.6666666666666667,2.0074074074074075,1.4347487706079478
api_single_judge,anthropic,cc,180,-2.640740740740741,-2.666666666666667,2.6462962962962964,1.0446015967986115
api_single_judge,anthropic,lc,180,-1.82962962962963,-1.6666666666666665,1.9259259259259258,1.4713227637805992
api_single_judge,anthropic,tf,180,-2.212037037037037,-2.333333333333333,2.2212962962962957,1.3356393647190379
api_single_judge,anthropic,mq,180,-1.75,-2.0,1.8925925925925924,1.4320422057178237
api_single_judge,anthropic,risk,180,1.8490740740740743,1.666666666666667,1.8935185185185188,1.3173739022034605
api_single_judge,deepseek,fa,180,-1.6944444444444444,-1.5,1.851851851851852,1.578142525223658
api_single_judge,deepseek,cc,180,-2.2518518518518515,-2.0,2.257407407407407,1.155034977998514
api_single_judge,deepseek,lc,180,-1.074074074074074,-0.5,1.5333333333333334,1.815105100149273
api_single_judge,deepseek,tf,180,-1.373148148148148,-1.0,1.6787037037037036,1.7331581963598173
api_single_judge,deepseek,mq,180,-1.2166666666666666,-1.0,1.674074074074074,1.6982025770064098
api_single_judge,deepseek,risk,180,1.0879629629629632,0.5,1.5472222222222223,1.7850359573963421
api_single_judge,doubao,fa,180,-1.4388888888888889,-1.0,1.7777777777777777,1.7649687916521066
api_single_judge,doubao,cc,180,-2.346296296296296,-2.333333333333333,2.3666666666666667,1.1285273765349855
api_single_judge,doubao,lc,180,-0.8018518518518517,0.16666666666666652,1.6444444444444444,2.000914509174674
api_single_judge,doubao,tf,180,-1.4398148148148147,-1.0,1.7435185185185185,1.7243971669400844
api_single_judge,doubao,mq,180,-1.2,-1.0,1.7222222222222223,1.7488490495573947
api_single_judge,doubao,risk,180,1.2990740740740743,1.0,1.625,1.689572322025277
api_single_judge,gemini,fa,180,-1.0722222222222222,0.0,1.5574074074074074,1.9051125309102896
