source,judge_provider,n,mean_risk,risk_floor_eq_1_rate,risk_near_floor_le_1_5_rate,risk_le_2_rate
api_mean,all_successful_api_judges,180,2.339506172839506,0.0,0.16111111111111112,0.46111111111111114
api_single_judge,anthropic,180,3.566666666666667,0.0,0.0,0.2111111111111111
api_single_judge,deepseek,180,2.8055555555555554,0.25,0.25,0.6055555555555555
api_single_judge,doubao,180,3.0166666666666666,0.15,0.15,0.5055555555555555
api_single_judge,gemini,180,1.55,0.6666666666666666,0.6666666666666666,0.8777777777777778
api_single_judge,glm,180,1.4944444444444445,0.7277777777777777,0.7277777777777777,0.8055555555555556
api_single_judge,kimi,180,1.7222222222222223,0.5944444444444444,0.5944444444444444,0.7277777777777777
api_single_judge,mimo,180,1.511111111111111,0.6777777777777778,0.6777777777777778,0.8888888888888888
api_single_judge,openai,180,2.783333333333333,0.15555555555555556,0.15555555555555556,0.5555555555555556
api_single_judge,qwen,180,2.6055555555555556,0.4166666666666667,0.4166666666666667,0.6055555555555555
original_web_llm_mean,original_web_panel_mean,180,1.0118055555555556,0.9388888888888889,1.0,1.0
