metric,n_pairs,mean_pairwise_pearson,median_pairwise_pearson,mean_pairwise_spearman,median_pairwise_spearman
quality,36,0.891699075259254,0.8777012100096152,0.8222452779575066,0.8541220866228936
risk,36,0.23602066131902807,0.06602920510684021,0.21095840426491366,0.13142137734290993
