reference,n,residual_spearman,residual_spearman_p,residual_pearson,residual_pearson_p,api_quality_coefficient_hc3,api_quality_coefficient_p_hc3,api_quality_ci_low_hc3,api_quality_ci_high_hc3
all50,180,0.20461560304973378,0.0058639322272140025,0.1297701449464634,0.08251624200135564,0.17223244094294882,0.08190067404333325,-0.021799399455835478,0.3662642813417331
primary48,180,0.20657246564960904,0.0053987521006445905,0.1302835602719991,0.08129911345811858,0.1780772542358382,0.10120511567319047,-0.03486763741276172,0.3910221458844381
