judge_provider,paper_model_label,judge_model_requested,actual_api_model,api_endpoint,available,reason,successful_calls,failed_calls,checked_at,model_list_endpoint,model_list_status,model_list_count,model_list_reason,source_run_dir,thinking_setting,thinking_note,temperature,max_tokens,stream,concurrency
openai,GPT-5.5 Thinking,gpt-5.5,gpt-5.5,https://api.openai.com/v1/responses,True,ok; 180 successful item scores after retrying transient SSL failures,180,3,2026-05-14T09:35:35+00:00,https://api.openai.com/v1/models,200,128,model_list_exact_or_same_family_match,api_judge_run_20260514_163748,,,,,,
gemini,Gemini 3.1 Pro,gemini-3.1-pro,gemini-3.1-pro-preview,https://generativelanguage.googleapis.com/v1beta/models/{model}:generateContent,True,ok; 180 successful item scores; actual API model resolved from official model list,180,0,2026-05-14T12:52:47+00:00,https://generativelanguage.googleapis.com/v1beta/models,200,50,"model_list_preferred_non_customtools_variant: gemini-3.1-pro-preview, gemini-3.1-pro-preview-customtools",api_judge_run_20260514_202126,,,,,,
anthropic,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,https://api.anthropic.com/v1/messages,True,ok; 180 successful item scores after retrying transient network failures,180,2,2026-05-14T11:11:01+00:00,https://api.anthropic.com/v1/models,200,7,model_list_exact_or_same_family_match,api_judge_run_20260514_184921,,,,,,
deepseek,DeepSeek-V4 Expert Mode,deepseek-v4,deepseek-v4-pro,https://api.deepseek.com/chat/completions,True,ok; 180 successful item scores after retrying transient network failures,180,3,2026-05-14T12:29:53+00:00,https://api.deepseek.com/models,200,2,"model_list_preferred_expert_pro_variant: deepseek-v4-pro, deepseek-v4-flash",api_judge_run_20260514_200305,disabled,DeepSeek thinking mode consumed the fixed max_tokens=800 with reasoning_content and produced empty content in pilot; disabled to preserve the fixed JSON scoring protocol.,,,,
doubao,Doubao 2.0 Pro,doubao-seed-2-0-pro-260215,doubao-seed-2-0-pro-260215,https://ark.cn-beijing.volces.com/api/v3/chat/completions,True,ok,180,0,2026-05-14T13:39:12+00:00,https://ark.cn-beijing.volces.com/api/v3/models,200,117,model_list_exact_or_same_family_match,api_judge_run_20260514_210500_doubao2pro_full,,,,,,
glm,GLM-5.1,glm-5.1,glm-5.1,https://open.bigmodel.cn/api/paas/v4/chat/completions,True,ok; 180 successful item scores after retrying transient network/SSL failures,180,1,2026-05-14T14:26:49+00:00,https://open.bigmodel.cn/api/paas/v4/models,200,7,model_list_exact_or_same_family_match,api_judge_run_20260514_203439,,,,,,
qwen,Qwen3.5 Thinking,qwen3.5-plus,qwen3.5-plus,https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions,True,"ok; 180 successful item scores; qwen3.5-thinking was not in official model list, so qwen3.5-plus with enable_thinking=true was used and logged",180,0,2026-05-14T14:14:54+00:00,https://dashscope.aliyuncs.com/compatible-mode/v1/models,200,239,model_list_exact_or_same_family_match,api_judge_run_20260514_212205,,,,,,
mimo,Mimo v2.5 Pro,mimo-v2.5-pro,mimo-v2.5-pro,https://api.xiaomimimo.com/v1/chat/completions,True,ok; 180 successful item scores after retrying transient network failures,180,2,2026-05-14T11:54:09+00:00,https://api.xiaomimimo.com/v1/models,200,9,model_list_exact_or_same_family_match,api_judge_run_20260514_193021,,,,,,
kimi,Kimi K2.6 Thinking,kimi-k2.6-thinking,kimi-k2.6,https://api.moonshot.cn/v1/chat/completions,True,ok; 180 successful item scores after retrying transient/length failures; run completed with concurrency=50,180,2,2026-05-14T14:45:30+00:00,https://api.moonshot.cn/v1/models,200,9,configured_actual_model_found_in_official_model_list,,,,forced=1; target=0; official kimi-k2.6 limitation,override=8192; target=800; thinking output budget limitation,override=true; target=false; non-streaming Kimi long thinking transport limitation,50.0
