removed_generator,n,quality_spearman,quality_pearson,risk_spearman,risk_pearson
Alibaba Qwen,165,-0.00928222103074196,0.011721463781263153,-0.03335434193829425,-0.0606657897016209
Anthropic Claude,160,-0.04426312647626561,0.052619204710153925,-0.011374472411921825,0.03478582766502998
ByteDance Doubao,150,-0.09587030650337343,0.04769364618514397,-0.056308644430218525,0.010001572991335764
DeepSeek,165,-0.022126099258424386,0.10564424023110736,-0.011695194543230768,0.040320962067629536
Google Gemini,150,-0.03624436910893667,0.07121694770807036,-0.028284068576544384,0.050090153991952345
Mimo,160,-0.02082213769999569,0.08610003838919494,0.01607984772257947,0.052950874086709974
Moonshot Kimi,170,-0.030372662557879185,0.07819272528812973,-0.015790193144833667,0.04032102349969604
OpenAI GPT,165,-0.015539008027095349,0.08770929628825605,-0.010899766087596295,0.03791179555142692
Zhipu GLM,155,-0.010580798274322992,0.09500903411027324,0.02163479815645564,0.07468673300741345
