judge,n_items,quality_spearman,quality_pearson,risk_spearman,risk_pearson
DeepSeek,180,0.13604268513557544,0.2989618199270716,0.08256102675964333,0.20957530328048546
Zhipu GLM,85,0.09534768429480535,0.15114571206075517,,
Anthropic Claude,180,0.05036125940592512,0.11047944956892351,0.1215582761426295,0.14777759389955095
OpenAI GPT,180,0.02114657630901811,0.009303868596474214,0.0062001025272561535,0.006126924869985645
Mimo,180,0.007151349130765215,0.08828266959113149,0.13107790017789564,0.32062936438133605
Moonshot Kimi,180,-0.18354598662794233,-0.17591399102730104,-0.12883935288533588,-0.12619815334179543
Alibaba Qwen,200,,,,
ByteDance Doubao,180,,,,
Google Gemini,180,,,,
