judge_provider,source_run_dir,source_log_found,log_lines,unique_items_in_log,parsed_success_rows,unique_items_with_parsed_success,http_200_rows,http_0_rows,rows_with_error_message,rows_with_retry_count_gt0,raw_response_total_bytes,source_raw_log_sha256,first_request_date,last_response_date
openai,api_judge_run_20260514_163748,TRUE,191,180,180,180,188,3,11,8,789715,bb7cb7164e3970e5f6ef4f714e22306e5c30e1c4bd75ac8d582eaa6de07c8719,2026-05-14,2026-05-14
anthropic,api_judge_run_20260514_184921,TRUE,182,180,180,180,180,2,2,0,168300,b45fe20ffa85c9076b83c9cd2d41b0dceccf9d7b922663059c54656e243d54ae,2026-05-14,2026-05-14
mimo,api_judge_run_20260514_193021,TRUE,182,180,180,180,180,2,2,0,111806,62e52e47e8af2b36914928d46c654a6dd30a53c0220181cc3515f4cfdb5bb5a8,2026-05-14,2026-05-14
deepseek,api_judge_run_20260514_200305,TRUE,183,180,180,180,180,3,3,0,130821,15f753d3705654491f19d82bbb205c316eac6907fc96a26eebde5476c08a23e6,2026-05-14,2026-05-14
gemini,api_judge_run_20260514_202126,TRUE,184,180,180,180,180,4,4,4,246348,9a2b9ed1424cb3b0f13e3fe922a665a3b3ef444ddea0ad795aed929ca0384fa9,2026-05-14,2026-05-14
glm,api_judge_run_20260514_203439,TRUE,197,180,180,180,181,16,17,16,781393,ff859be1296dbb43342441bfd16488975fcd567a2acac1efadde7d2f9febec05,2026-05-14,2026-05-14
kimi,api_judge_run_20260514_203800,TRUE,203,180,180,180,190,13,23,20,121778047,8b5d02822b1763c420af01c694582736165138b9ccaf430b49a8a661b4be99f8,2026-05-14,2026-05-14
doubao,api_judge_run_20260514_210500_doubao2pro_full,TRUE,185,180,180,180,180,5,5,5,130266,73ed7a2dea21e8b5b5aed9b24e08816143fbffc1a06373c0ee2a42eca4e0ae7a,2026-05-14,2026-05-14
qwen,api_judge_run_20260514_212205,TRUE,189,180,180,180,181,8,9,9,5544567,c4a1815eed85d68c2886bbe740f678dfbb5b6b7add9f4fb96ce6650251c70768,2026-05-14,2026-05-14
