source,target,n,pearson_r,pearson_p,spearman_r,spearman_p
api_mean_full810,human_quality,180,-0.3526497434466223,1.20248077525012e-06,-0.34008046845217316,2.999567550207793e-06
api_mean_full810,human_risk,180,-0.21368465937088238,0.003973585570419084,-0.23080458533671527,0.0018258195615909062
web_interface_mean,human_quality,180,0.041309289081456285,0.5819104738504507,0.0035909161755303333,0.9618423935944918
web_interface_mean,human_risk,180,0.043650923764167834,0.5606771271116171,0.06302187593340236,0.40064350898948603
