domain,questionnaires,familiarity_ge3_questionnaires,median_familiarity,median_duration_seconds,field_self_reports
Biology,5,5,4.0,1075.0,初中生物学; 学科教学（生物）; 生物科学师范; 生物科学（师范）; 科学高中背景下高中生能力培养研究路径
Chemistry,4,4,4.0,1964.0,中学化学教育; 分析化学; 科学传播; 药物化学
Climate/Environment,5,4,3.0,1351.0,古气候学; 大气科学; 大气科学雷电物理方向; 气象学
Geoscience,4,2,3.0,891.5,现当代文学; 科学传播; 虚拟社区; 遥测
Physics,4,4,3.0,1882.5,光量子精密测量; 应用物理学; 科学传播、新闻传播; 科技传播
